DATAID,VERSION_NUM,ENTITY_NAME,REFERENCE_NUM,ADDRESS_CITY,ADDRESS_COUNTRY
6908695,1,SHANGHAI DONGFENG SHIPPING CO LTD,KPe.072,Shanghai,China
6908696,1,SHEN ZHONG INTERNATIONAL SHIPPING,KPe.073,,China
110333,1,SHO'A' AVIATION,IRe.071,,
6908553,1,SINGWANG ECONOMICS AND TRADING GENERAL CORPORATION,KPe.036,,Democratic People's Republic of Korea
110331,1,SPECIAL INDUSTRIES GROUP (SIG),IRe.073,Tehran,Iran (Islamic Republic of)
114111,1,SPECIAL PURPOSE ISLAMIC REGIMENT (SPIR),QDe.101,,
6908597,1,STRATEGIC ROCKET FORCE OF THE KOREAN PEOPLE’S ARMY,"KPe.046 ",Pyongyang,Democratic People's Republic of Korea
6908343,1,T.M.G. ENGINEERING LIMITED,IQe.208,London WC2A 1QU,United Kingdom
114112,1,TAIBAH INTERNATIONAL-BOSNIA OFFICES,QDe.108,Novo Sarajevo,Bosnia and Herzegovina
690752,1,TANCHON COMMERCIAL BANK,KPe.003,Pyongyang,Democratic People's Republic of Korea
6908768,1,TARIQ GIDAR GROUP (TGG),QDe.160,,
6908342,1,TECHNOLOGY AND DEVELOPMENT GROUP LIMITED,IQe.207,London WC2A 1QU,United Kingdom
2971894,1,TEHRIK-E TALIBAN PAKISTAN (TTP),QDe.132,,
6908463,1,"THE ARMY OF EMIGRANTS AND SUPPORTERS ",QDe.148,Jabal Turkuman area,Syrian Arab Republic
6908876,1,THE HOUTHIS,YEe.001,,Yemen
113995,1,THE ORGANIZATION OF AL-QAIDA IN THE ISLAMIC MAGHREB,QDe.014,,Algeria
110329,1,TIZ PARS,IRe.075,Tehran,Iran (Islamic Republic of)
690766,1,TOSONG TECHNOLOGY TRADING CORPORATION,KPe.015,Pyongyang,Democratic People's Republic of Korea
6908030,1,TOUS POUR LA PAIX ET LE DEVELOPPEMENT (NGO),CDe.008,Goma,Democratic Republic of the Congo
6908340,1,"TRADING AND TRANSPORT SERVICES COMPANY, LTD",IQe.205,Jabal Al-Hussein,Jordan
113997,1,TUNISIAN COMBATANT GROUP,QDe.090,,Tunisia
6908031,1,UGANDA COMMERCIAL IMPEX (UCI) LTD,CDe.009,Kampala,Uganda
113883,1,UMMAH TAMEER E-NAU (UTN),QDe.068,Kabul,Afghanistan
114113,1,WAFA HUMANITARIAN ORGANIZATION,QDe.015,,Pakistan
6908697,1,WEIHAI WORLD-SHIPPING FREIGHT,KPe.074,Shandong,China
110328,1,YA MAHDI INDUSTRIES GROUP,IRe.076,,
110327,1,YAS AIR,IRe.077,Tehran,Iran (Islamic Republic of)
110326,1,YAZD METALLURGY INDUSTRIES (YMI),IRe.078,"Tehran, 16588",Iran
6908689,1,YUK TUNG ENERGY PTE LTD,KPe.075,Singapore,Singapore
