Province/State,Country/Region,Confirmed,Deaths,Recovered
Hubei,China,67790,3075,52960
"",Italy,21157,1441,1966
"",Iran,12729,611,2959
"","Korea, South",8086,72,510
"",Spain,6391,195,517
"",Germany,4585,9,46
France,France,4469,91,12
"",Switzerland,1359,13,4
Guangdong,China,1356,8,1299
Henan,China,1273,22,1250
Zhejiang,China,1227,1,1211
United Kingdom,United Kingdom,1140,21,18
"",Norway,1090,3,1
Hunan,China,1018,4,1014
Anhui,China,990,6,984
"",Sweden,961,2,1
"",Netherlands,959,12,2
Jiangxi,China,935,1,934
Denmark,Denmark,827,1,1
"",Japan,773,22,118
Shandong,China,760,7,741
Diamond Princess,Cruise Ship,696,7,325
"",Belgium,689,4,1
"",Austria,655,1,6
Jiangsu,China,631,0,630
Chongqing,China,576,6,569
Washington,US,572,37,1
Sichuan,China,539,3,511
New York,US,525,2,0
Heilongjiang,China,482,13,447
Beijing,China,437,8,349
Shanghai,China,353,3,324
California,US,340,5,6
"",Qatar,337,0,4
Hebei,China,318,6,310
Fujian,China,296,1,295
Guangxi,China,252,2,243
Shaanxi,China,245,2,232
"",Malaysia,238,0,35
"",Greece,228,3,8
"",Finland,225,0,1
"",Singapore,212,0,105
"",Bahrain,210,0,44
"",Israel,193,0,4
"",Czechia,189,0,0
"",Slovenia,181,1,0
Yunnan,China,174,2,172
"",Portugal,169,0,2
Hainan,China,168,6,160
"",Iceland,156,0,1
"",Brazil,151,0,0
Guizhou,China,146,2,143
Hong Kong,China,140,4,78
Massachusetts,US,138,0,1
Tianjin,China,136,3,132
Shanxi,China,133,0,133
Gansu,China,129,2,89
"",Ireland,129,2,0
Liaoning,China,125,1,113
"",Romania,123,0,9
"",Estonia,115,0,0
New South Wales,Australia,112,2,4
"",Philippines,111,8,2
"",Iraq,110,10,26
"",Egypt,109,2,27
"",Kuwait,104,0,5
"",Poland,103,3,0
"",Saudi Arabia,103,0,1
"",India,102,2,4
Colorado,US,101,1,0
"",Indonesia,96,5,8
Jilin,China,93,1,91
"",Lebanon,93,3,1
"",United Arab Emirates,85,0,17
"",Thailand,82,1,35
